,missing_rate
DETCRIM,0.8475072051690722
FREQ3_D,0.8456508609621142
ROUTE3,0.8143175209340826
FRSTUSE3,0.8140162595094603
FREQ3,0.8138670633753617
DETNLF,0.7872757216287053
DETNLF_D,0.769529989140243
FREQ2_D,0.7302024620231282
PREG,0.6654448842223654
DAYWAIT,0.5372574307564961
PRIMPAY,0.5285036345039014
FRSTUSE2,0.5212525589288866
FREQ2,0.5211614632123936
ROUTE2,0.5198997516745114
HLTHINS,0.42890230378915145
PRIMINC,0.34784648291632536
CBSA2020,0.332906068122381
FREQ1_D,0.32033414195725246
LIVARAG_D,0.24560122455596217
MARSTAT,0.243437880611532
FREQ_ATND_SELF_HELP,0.21540335318311388
FREQ_ATND_SELF_HELP_D,0.20528312118312533
DSMCRIT,0.20202591135167394
ARRESTS_D,0.19298950319121924
EMPLOY_D,0.17904468567674076
ARRESTS,0.17249870529316322
EDUC,0.1570977908930106
LIVARAG,0.1564651419013039
FRSTUSE1,0.15600822874062684
VET,0.15401846875990755
FREQ1,0.15383627732692173
ROUTE1,0.14972836261546563
EMPLOY,0.14266808594271155
PSYPROB,0.1414781033154537
IDU,0.14138700759896078
PSOURCE,0.1341015021468463
METHUSE,0.12341317717471298
SUB1,0.12077283597463091
SUB1_D,0.12055047635169545
SUB3_D,0.10731505776329173
SUB3,0.1044688545897178
NOPRIOR,0.0720975972249519
SUB2_D,0.06320392959663965
RACE,0.049992181548741944
ETHNIC,0.04822478119095814
SUB2,0.03296230358831048
GENDER,0.0006563195322127365
MTHAMFLG,0.0
REGION,0.0
DIVISION,0.0
OTHERFLG,0.0
OTCFLG,0.0
ALCDRUG,0.0
INHFLG,0.0
SEDHPFLG,0.0
BARBFLG,0.0
TRNQFLG,0.0
BENZFLG,0.0
STIMFLG,0.0
AMPHFLG,0.0
SERVICES_D,0.0
HALLFLG,0.0
PCPFLG,0.0
OPSYNFLG,0.0
METHFLG,0.0
HERFLG,0.0
MARFLG,0.0
COKEFLG,0.0
ALCFLG,0.0
REASON,0.0
STFIPS,0.0
AGE,0.0
SERVICES,0.0
LOS,0.0
CASEID,0.0
DISYR,0.0
